X_0,X_2,X_3,X_8,X_9,X_7,X_1,X_4,X_6,X_5
1,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,1,1,0,0
1,0,0,0,1,1,0,0,1,1
1,0,1,0,0,1,1,0,0,0
0,1,1,1,1,1,0,0,0,0
1,0,1,0,1,1,0,0,0,0
1,1,1,0,0,1,1,0,1,1
0,0,1,0,0,1,1,0,0,0
1,1,1,1,1,0,0,1,1,0
0,1,0,0,0,0,1,0,1,1
0,1,0,0,0,0,0,0,1,1
0,0,0,0,0,1,0,0,0,0
1,0,1,1,1,1,1,0,1,0
0,1,1,0,0,0,1,1,0,0
1,1,1,1,0,0,0,1,0,1
1,0,0,1,1,1,0,1,1,0
0,0,1,1,0,0,0,1,0,0
1,1,0,1,0,1,0,0,0,1
0,0,0,1,1,0,0,0,1,0
1,0,1,1,1,0,0,0,1,1
0,0,0,1,1,1,0,1,1,1
1,1,1,1,0,1,1,1,1,0
1,1,0,0,1,1,0,1,1,1
0,1,0,1,0,1,1,1,1,0
1,1,0,1,1,1,0,0,0,1
1,1,0,0,1,1,1,1,1,0
0,1,1,1,0,0,1,1,1,1
0,1,1,1,1,0,1,1,0,0
0,0,1,0,0,1,0,0,1,1
1,0,1,1,0,1,1,1,1,0
1,0,1,0,1,0,1,1,1,0
0,1,1,0,1,0,1,1,1,1
1,1,0,0,1,0,1,1,1,0
1,1,1,1,1,1,1,1,0,0
1,0,0,1,0,0,0,1,1,1
1,0,1,0,0,0,0,0,0,0
1,0,1,0,1,1,1,0,1,0
1,0,0,0,0,1,0,0,0,1
0,1,0,0,1,0,0,1,0,1
0,1,0,1,0,1,1,1,0,0
0,1,1,0,0,0,1,0,1,0
1,1,0,0,0,0,0,0,1,1
0,0,0,1,0,1,0,0,1,1
0,1,1,0,0,0,0,0,1,1
0,0,0,1,0,1,1,1,1,0
0,0,0,0,1,1,0,0,1,1
0,0,1,0,0,1,1,0,0,0
0,1,0,0,1,1,0,0,0,0
0,1,0,1,0,1,1,1,1,1
1,0,1,0,1,0,1,0,0,1
0,1,1,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,1,0
0,0,1,1,0,1,1,0,1,1
1,0,1,0,1,1,0,0,0,1
1,1,1,0,1,1,1,0,1,0
1,1,0,0,1,1,0,1,0,1
1,1,1,1,0,0,0,1,1,1
1,1,1,1,0,1,1,0,1,1
0,1,1,0,1,0,1,0,1,1
0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,1,1,1,1,0
1,1,1,0,0,1,1,1,0,1
0,0,0,0,1,1,1,0,1,1
1,1,1,0,0,0,0,1,0,0
1,1,0,0,0,1,1,0,1,0
0,0,1,1,0,0,1,0,1,0
1,0,1,1,0,1,1,0,0,1
1,0,1,0,0,1,0,0,1,1
0,0,1,0,0,0,0,0,0,1
0,1,0,1,1,1,0,0,1,1
