X_6,X_5,X_2,X_1,X_8,X_0,X_17,X_4,X_15,X_3,X_14,X_13,X_11,X_7,X_16,X_12,X_10,X_19,X_18,X_9
0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1
0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1
1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1
1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0
0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0
1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0
0,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0
0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1
0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1
0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0
0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0
1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1
0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1
0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0
1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1
0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0
0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0
0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1
0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0
0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1
0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0
1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1
1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0
1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1
1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1
1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1
0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0
1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0
1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1
0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1
1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0
1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1
1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0
1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0
1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0
0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1
0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0
0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0
1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1
0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1
1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1
1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0
0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0
0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1
0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0
1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1
0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0
1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1
0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0
0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0
1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1
1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0
1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0
0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0
1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0
0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1
1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0
0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0
1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0
1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1
1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1
0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0
0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1
0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0
1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1
1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0
0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1
1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1
0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1
1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1
1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1
1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0
0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0
0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0
0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1
1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0
0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1
0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0
0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0
0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1
1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1
0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0
1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1
1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1
0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1
0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0
0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1
0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0
1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1
1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1
1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0
0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1
0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0
1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1
1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1
0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1
0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1
1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1
0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0
1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0
1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0
1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0
1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1
1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1
1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0
1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1
0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1
0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0
0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1
1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0
0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1
