n_nodes,actual_density,max_in_degree,alpha,sample_size,kl,fit_time_s,fit_rss_delta_bytes,total_stored_params,total_memory_bytes
5,0.4,2,0.1,600,0.015771029387340322,0.007947100000137652,8192,18,144
5,0.4,2,0.1,1000,0.008809965005876734,0.00761419999980717,12288,18,144
5,0.4,2,0.1,1400,0.008772913489422659,0.008422200000040903,8192,18,144
5,0.4,2,0.1,600,0.04351106504119008,0.009664200000088385,102400,18,144
5,0.4,2,0.1,1000,0.01143669052602517,0.009542699999883553,12288,18,144
5,0.4,2,0.1,1400,0.011653172340453433,0.008335800000168092,20480,18,144
5,0.4,2,0.1,600,0.003473935870920131,0.010650899999973262,0,18,144
5,0.4,2,0.1,1000,0.004249235150978117,0.009482700000035038,0,18,144
5,0.4,2,0.1,1400,0.003979991096813508,0.0075200999999651685,0,18,144
5,0.4,2,0.1,600,0.013480327363938048,0.008278800000198316,0,18,144
5,0.4,2,0.1,1000,0.0056303717329207435,0.007660299999997733,0,18,144
5,0.4,2,0.1,1400,0.002979452657439626,0.00789400000007845,4096,18,144
5,0.4,2,0.1,600,0.009579591169756435,0.0072597000000769185,8192,18,144
5,0.4,2,0.1,1000,0.007633075042662661,0.007691999999906329,16384,18,144
5,0.4,2,0.1,1400,0.008563155361315945,0.007385999999996784,24576,18,144
5,0.4,2,0.5,600,42.52591335971083,0.008210400000052687,12288,18,144
5,0.4,2,0.5,1000,23.398322005552934,0.008702899999889269,16384,18,144
5,0.4,2,0.5,1400,23.69887553163282,0.00786100000004808,12288,18,144
5,0.4,2,0.5,600,35.96940349154163,0.009039799999982279,0,18,144
5,0.4,2,0.5,1000,31.860562444998983,0.008116799999925206,0,18,144
5,0.4,2,0.5,1400,31.826438530667826,0.007967999999891617,0,18,144
5,0.4,2,0.5,600,32.33484980370442,0.007870599999932892,0,18,144
5,0.4,2,0.5,1000,32.617618159810014,0.007938599999988583,0,18,144
5,0.4,2,0.5,1400,32.427462562648984,0.008039300000064031,0,18,144
5,0.4,2,0.5,600,18.20085620674579,0.008581499999991138,0,18,144
5,0.4,2,0.5,1000,18.229201055357418,0.008828999999877851,4096,18,144
5,0.4,2,0.5,1400,18.142284695801578,0.007514499999842883,8192,18,144
5,0.4,2,0.5,600,51.63459327409044,0.00773180000010143,4096,18,144
5,0.4,2,0.5,1000,51.680982968152655,0.008379999999988286,12288,18,144
5,0.4,2,0.5,1400,51.623146816444475,0.008241999999881955,0,18,144
5,0.4,2,1.0,600,49.64788470438868,0.008907099999987622,0,18,144
5,0.4,2,1.0,1000,42.882027313924894,0.008887200000117446,0,18,144
5,0.4,2,1.0,1400,43.002479304850965,0.008367500000076689,0,18,144
