estimator,hidden_dims,activation,dag_idx,n_nodes,in_degree,alpha,sample_size,n_fit,density,kl,kl_se,fit_time_s,fit_rss_delta_bytes,stored_params,free_params,memory_bytes,memory_bytes_native,stop_epoch_mean,frac_at_ceiling
mle,,,1,5,2,0.5,600,480,0.7,0.0576408298321216,0.0009335987429158,0.0117103000000042,0,30,15,240,240,,
nn_linear,[],linear,1,5,2,0.5,600,480,0.7,0.1734851130538144,0.002032015524221,2.387351800000033,8192,40,40,320,160,,
nn_32_relu,[32],ReLU,1,5,2,0.5,600,480,0.7,0.0640395931736857,0.0012212586752107,1.9162128000000396,20480,970,970,7760,3880,,
mle,,,1,5,2,0.5,1000,800,0.7,0.0433138394185373,0.0007934318463881,0.0091546999999536,0,30,15,240,240,,
nn_linear,[],linear,1,5,2,0.5,1000,800,0.7,0.0962208754389223,0.0030968519330673,4.703889799999843,-3563520,40,40,320,160,,
nn_32_relu,[32],ReLU,1,5,2,0.5,1000,800,0.7,0.021134694765764,0.0007657855855267,2.4085459999998875,-819200,970,970,7760,3880,,
mle,,,1,5,2,0.5,1400,1120,0.7,0.0381974711127239,0.000755085294788,0.0091520999999374,4096,30,15,240,240,,
nn_linear,[],linear,1,5,2,0.5,1400,1120,0.7,0.1051812343150492,0.0020984075573911,4.71860659999993,-4059136,40,40,320,160,,
nn_32_relu,[32],ReLU,1,5,2,0.5,1400,1120,0.7,0.0089322455601666,0.0001193837572541,4.023487899999964,-884736,970,970,7760,3880,,
mle,,,2,5,2,0.5,600,480,0.7,0.0203499151666773,0.0003705728399123,0.0111343999999462,0,30,15,240,240,,
nn_linear,[],linear,2,5,2,0.5,600,480,0.7,0.0666931528566367,0.0005930619394969,2.7146181000000524,-3489792,40,40,320,160,,
nn_32_relu,[32],ReLU,2,5,2,0.5,600,480,0.7,0.013853954884141,0.0001100088350342,1.6348045999998249,-1617920,970,970,7760,3880,,
mle,,,2,5,2,0.5,1000,800,0.7,0.0115915077741884,0.0002385322641085,0.011009999999942,0,30,15,240,240,,
nn_linear,[],linear,2,5,2,0.5,1000,800,0.7,0.0229432453463789,0.0005130112703566,4.493612399999847,-3473408,40,40,320,160,,
nn_32_relu,[32],ReLU,2,5,2,0.5,1000,800,0.7,0.0083945226835127,9.772225283157764e-05,3.013607899999897,-765952,970,970,7760,3880,,
mle,,,2,5,2,0.5,1400,1120,0.7,0.0078429694192284,0.0001344531075553,0.0091136999999434,0,30,15,240,240,,
nn_linear,[],linear,2,5,2,0.5,1400,1120,0.7,0.0239699467798678,0.0004938677540639,5.369056300000011,-4083712,40,40,320,160,,
nn_32_relu,[32],ReLU,2,5,2,0.5,1400,1120,0.7,0.00855382064824,0.0001237161451206,4.969409300000052,-851968,970,970,7760,3880,,
mle,,,3,5,2,0.5,600,480,0.7,0.017370113302995,0.0001137726752337,0.0105499999999665,0,30,15,240,240,,
nn_linear,[],linear,3,5,2,0.5,600,480,0.7,0.1340093824866555,0.0012647507861693,2.886228299999857,-3489792,40,40,320,160,,
nn_32_relu,[32],ReLU,3,5,2,0.5,600,480,0.7,0.0182404349755498,0.0001459286711443,1.4552424000000883,-1585152,970,970,7760,3880,,
mle,,,3,5,2,0.5,1000,800,0.7,0.0176517368471067,3.894562157451312e-05,0.0106458000000202,0,30,15,240,240,,
nn_linear,[],linear,3,5,2,0.5,1000,800,0.7,0.1363143282046644,0.0010546780704854,2.6540621999999985,-3096576,40,40,320,160,,
nn_32_relu,[32],ReLU,3,5,2,0.5,1000,800,0.7,0.0211229395957251,0.0001369081509893,2.038483499999984,-1036288,970,970,7760,3880,,
mle,,,3,5,2,0.5,1400,1120,0.7,0.0145254891551311,0.0001017115824442,0.0087978999999904,4096,30,15,240,240,,
nn_linear,[],linear,3,5,2,0.5,1400,1120,0.7,0.1356471339461307,0.0016744401051219,3.3604760999999144,-4022272,40,40,320,160,,
nn_32_relu,[32],ReLU,3,5,2,0.5,1400,1120,0.7,0.0331795515010754,0.0004219926731374,3.227344099999982,-929792,970,970,7760,3880,,
mle,,,4,5,2,0.5,600,480,0.7,0.0283980080825083,0.0001775075787029,0.0114106999999421,0,30,15,240,240,,
nn_linear,[],linear,4,5,2,0.5,600,480,0.7,0.1066428658351564,0.0017160948598654,2.770430999999917,-3379200,40,40,320,160,,
nn_32_relu,[32],ReLU,4,5,2,0.5,600,480,0.7,0.0268280415364899,0.0001804710162415,2.027689999999893,-1515520,970,970,7760,3880,,
mle,,,4,5,2,0.5,1000,800,0.7,0.0138534601918979,4.4970536287483366e-05,0.0107138000000759,0,30,15,240,240,,
nn_linear,[],linear,4,5,2,0.5,1000,800,0.7,0.073001397840619,0.0017160530017525,3.8263873999999305,-2990080,40,40,320,160,,
nn_32_relu,[32],ReLU,4,5,2,0.5,1000,800,0.7,0.0347035555841499,0.0001667708252248,2.5286251999998512,-1110016,970,970,7760,3880,,
mle,,,4,5,2,0.5,1400,1120,0.7,0.0143069228443943,4.643435588394625e-05,0.0109064999999191,0,30,15,240,240,,
nn_linear,[],linear,4,5,2,0.5,1400,1120,0.7,0.0610515997163682,0.0011071775490813,3.860060799999928,-4022272,40,40,320,160,,
nn_32_relu,[32],ReLU,4,5,2,0.5,1400,1120,0.7,0.0213633903572958,0.0001462660606375,3.4164791999999125,-1015808,970,970,7760,3880,,
mle,,,5,5,2,0.5,600,480,0.7,0.1569058899172122,0.0102339092441412,0.0102894999999989,0,30,15,240,240,,
nn_linear,[],linear,5,5,2,0.5,600,480,0.7,0.0938385229084345,0.0006825982049553,2.9415263999999297,-3649536,40,40,320,160,,
nn_32_relu,[32],ReLU,5,5,2,0.5,600,480,0.7,0.0142021839215928,0.0007888743854869,2.4367390999998406,-1462272,970,970,7760,3880,,
mle,,,5,5,2,0.5,1000,800,0.7,0.0743401671415366,0.010069866694385,0.0113440000000082,0,30,15,240,240,,
nn_linear,[],linear,5,5,2,0.5,1000,800,0.7,0.042797494800712,0.0007516949343184,4.370497699999987,-2641920,40,40,320,160,,
nn_32_relu,[32],ReLU,5,5,2,0.5,1000,800,0.7,0.0103973903941951,0.0005001143012863,3.094878999999992,-1056768,970,970,7760,3880,,
mle,,,5,5,2,0.5,1400,1120,0.7,0.0121945951340461,0.0010760441755302,0.0099192999998649,0,30,15,240,240,,
nn_linear,[],linear,5,5,2,0.5,1400,1120,0.7,0.0262260242768662,0.0004319140018693,5.69829249999998,-4259840,40,40,320,160,,
nn_32_relu,[32],ReLU,5,5,2,0.5,1400,1120,0.7,0.0057938557803869,0.000191258506797,2.561161000000084,-888832,970,970,7760,3880,,
mle,,,1,5,4,0.5,600,480,1.0,0.1035227245313418,0.0063436498049421,0.0131999000000178,0,62,31,496,496,,
nn_linear,[],linear,1,5,4,0.5,600,480,1.0,0.1054295270789887,0.0017085876565566,2.796823499999846,-4403200,52,52,416,208,,
nn_32_relu,[32],ReLU,1,5,4,0.5,600,480,1.0,0.0299074621094852,0.002038017147318,1.5926933000000645,-1650688,1162,1162,9296,4648,,
mle,,,1,5,4,0.5,1000,800,1.0,0.0491941505614521,0.0027580617949563,0.0106634999999641,4096,62,31,496,496,,
nn_linear,[],linear,1,5,4,0.5,1000,800,1.0,0.0677925040810107,0.0014364645569103,3.792830899999899,-3760128,52,52,416,208,,
nn_32_relu,[32],ReLU,1,5,4,0.5,1000,800,1.0,0.0255359689172607,0.0006026241805319,2.8439507999999023,-1445888,1162,1162,9296,4648,,
mle,,,1,5,4,0.5,1400,1120,1.0,0.0616695185142236,0.0081146533798178,0.0120345999998789,0,62,31,496,496,,
nn_linear,[],linear,1,5,4,0.5,1400,1120,1.0,0.054810081285095,0.0016644159219034,5.379267599999821,-4251648,52,52,416,208,,
nn_32_relu,[32],ReLU,1,5,4,0.5,1400,1120,1.0,0.0129978168320579,0.0005208365429314,4.2918838000000505,-1183744,1162,1162,9296,4648,,
mle,,,2,5,4,0.5,600,480,1.0,0.1290006867022395,0.0016453904731766,0.0122378999999455,0,62,31,496,496,,
nn_linear,[],linear,2,5,4,0.5,600,480,1.0,0.1960498822784638,0.0030996086764444,2.5299748000002182,-4714496,52,52,416,208,,
nn_32_relu,[32],ReLU,2,5,4,0.5,600,480,1.0,0.0307964403552975,0.0006463438219877,2.2489263999998457,-2109440,1162,1162,9296,4648,,
mle,,,2,5,4,0.5,1000,800,1.0,0.0392895525228386,0.0008249827532127,0.0120139999999082,0,62,31,496,496,,
nn_linear,[],linear,2,5,4,0.5,1000,800,1.0,0.1669689528546841,0.0033257425185813,4.294710500000065,-4661248,52,52,416,208,,
nn_32_relu,[32],ReLU,2,5,4,0.5,1000,800,1.0,0.0161952915967448,0.0006686419038739,4.018790999999965,-1273856,1162,1162,9296,4648,,
mle,,,2,5,4,0.5,1400,1120,1.0,0.0355536783069094,0.000669680763654,0.0121429000000716,0,62,31,496,496,,
nn_linear,[],linear,2,5,4,0.5,1400,1120,1.0,0.1684367605206603,0.0029521890622062,5.255051200000025,-3526656,52,52,416,208,,
nn_32_relu,[32],ReLU,2,5,4,0.5,1400,1120,1.0,0.013411307622189,0.0003949853659566,5.976777299999867,-1662976,1162,1162,9296,4648,,
mle,,,3,5,4,0.5,600,480,1.0,0.039410711085537,0.0035022111228555,0.0117945999998028,0,62,31,496,496,,
nn_linear,[],linear,3,5,4,0.5,600,480,1.0,0.1743113962692723,0.0026023412461397,2.789677900000015,-6414336,52,52,416,208,,
nn_32_relu,[32],ReLU,3,5,4,0.5,600,480,1.0,0.0480133792143261,0.0008228148213612,2.1535919999998896,-2031616,1162,1162,9296,4648,,
mle,,,3,5,4,0.5,1000,800,1.0,0.0337909631499737,0.0035297306560143,0.0105562999999619,0,62,31,496,496,,
nn_linear,[],linear,3,5,4,0.5,1000,800,1.0,0.1414762931001812,0.0025725261707927,4.440663299999869,-4263936,52,52,416,208,,
nn_32_relu,[32],ReLU,3,5,4,0.5,1000,800,1.0,0.0124340374895362,0.0003487261946822,4.733539700000165,-1187840,1162,1162,9296,4648,,
mle,,,3,5,4,0.5,1400,1120,1.0,0.0292570983479796,0.0034901092130206,0.0124091000000134,0,62,31,496,496,,
nn_linear,[],linear,3,5,4,0.5,1400,1120,1.0,0.135028488672183,0.0018002682774352,5.110668900000064,-4182016,52,52,416,208,,
nn_32_relu,[32],ReLU,3,5,4,0.5,1400,1120,1.0,0.0182596555459215,0.0004932057808456,3.2011569000001145,-1814528,1162,1162,9296,4648,,
mle,,,4,5,4,0.5,600,480,1.0,0.4047459259228089,0.0156215665083473,0.0155393000000003,8192,62,31,496,496,,
nn_linear,[],linear,4,5,4,0.5,600,480,1.0,0.216107162261447,0.0044046551857068,3.035344000000123,-5500928,52,52,416,208,,
nn_32_relu,[32],ReLU,4,5,4,0.5,600,480,1.0,0.0646552826508731,0.0022358896690787,1.931304500000124,-1998848,1162,1162,9296,4648,,
mle,,,4,5,4,0.5,1000,800,1.0,0.0734296154874713,0.0032610241019395,0.0125430000000505,0,62,31,496,496,,
nn_linear,[],linear,4,5,4,0.5,1000,800,1.0,0.1951231296703983,0.0045561893435316,4.034688799999913,-4452352,52,52,416,208,,
nn_32_relu,[32],ReLU,4,5,4,0.5,1000,800,1.0,0.0324292385935774,0.0010723689184308,3.8251999000001433,-1679360,1162,1162,9296,4648,,
mle,,,4,5,4,0.5,1400,1120,1.0,0.052883168406097,0.0023373429056737,0.0122545000001537,0,62,31,496,496,,
nn_linear,[],linear,4,5,4,0.5,1400,1120,1.0,0.1934874573799452,0.0047826833827887,4.183354300000019,-4005888,52,52,416,208,,
nn_32_relu,[32],ReLU,4,5,4,0.5,1400,1120,1.0,0.0221519500549665,0.0006557097170893,4.3216485999998895,-1589248,1162,1162,9296,4648,,
mle,,,5,5,4,0.5,600,480,1.0,0.1779053475061476,0.0080697966739955,0.0123088000000279,0,62,31,496,496,,
nn_linear,[],linear,5,5,4,0.5,600,480,1.0,0.1648751698008598,0.0020652503918856,2.42033749999996,-4722688,52,52,416,208,,
nn_32_relu,[32],ReLU,5,5,4,0.5,600,480,1.0,0.022473857486855,0.0004192730015514,2.141751899999917,-1814528,1162,1162,9296,4648,,
mle,,,5,5,4,0.5,1000,800,1.0,0.0859783765908708,0.0052681078412669,0.012725699999919,0,62,31,496,496,,
nn_linear,[],linear,5,5,4,0.5,1000,800,1.0,0.1658337560605277,0.0023119907210175,3.33186610000007,-4407296,52,52,416,208,,
nn_32_relu,[32],ReLU,5,5,4,0.5,1000,800,1.0,0.0202349393831099,0.0007010884559345,2.9982952000000296,-1396736,1162,1162,9296,4648,,
mle,,,5,5,4,0.5,1400,1120,1.0,0.0619124965284045,0.005281309520844,0.0119692000000668,0,62,31,496,496,,
nn_linear,[],linear,5,5,4,0.5,1400,1120,1.0,0.1439913870324602,0.0029266436780984,5.1954774999999245,-4075520,52,52,416,208,,
nn_32_relu,[32],ReLU,5,5,4,0.5,1400,1120,1.0,0.0152882711553956,0.0004147138095267,4.479862200000071,-1466368,1162,1162,9296,4648,,
mle,,,1,5,6,0.5,600,480,1.0,0.3034528441579572,0.0161942755291012,0.0108834999998634,0,62,31,496,496,,
nn_linear,[],linear,1,5,6,0.5,600,480,1.0,0.547601188255174,0.0033970754118714,2.3030862000000525,-3743744,52,52,416,208,,
nn_32_relu,[32],ReLU,1,5,6,0.5,600,480,1.0,0.0179401103030889,0.0010085260657524,2.7755955000000085,-2396160,1162,1162,9296,4648,,
mle,,,1,5,6,0.5,1000,800,1.0,0.0418097760327818,0.0057061745916897,0.0122681000000284,0,62,31,496,496,,
nn_linear,[],linear,1,5,6,0.5,1000,800,1.0,0.4265408890157886,0.0037924737149993,4.27640909999991,-5414912,52,52,416,208,,
nn_32_relu,[32],ReLU,1,5,6,0.5,1000,800,1.0,0.0142657100613668,0.000348477957009,4.022155999999995,-1437696,1162,1162,9296,4648,,
mle,,,1,5,6,0.5,1400,1120,1.0,0.0431460254395475,0.0057252678856543,0.0134825999998611,4096,62,31,496,496,,
nn_linear,[],linear,1,5,6,0.5,1400,1120,1.0,0.3043185135412297,0.0037952926772818,5.124421799999936,-3600384,52,52,416,208,,
nn_32_relu,[32],ReLU,1,5,6,0.5,1400,1120,1.0,0.0112455506844972,0.0003297509428856,3.661111599999913,-1572864,1162,1162,9296,4648,,
mle,,,2,5,6,0.5,600,480,1.0,0.0133654629207618,7.547695873531959e-05,0.0131716000000778,8192,62,31,496,496,,
nn_linear,[],linear,2,5,6,0.5,600,480,1.0,0.4653430529973435,0.002376620095516,2.159945599999901,-5705728,52,52,416,208,,
nn_32_relu,[32],ReLU,2,5,6,0.5,600,480,1.0,0.0328659668804762,7.016694500761008e-05,1.7972045999999864,-1441792,1162,1162,9296,4648,,
mle,,,2,5,6,0.5,1000,800,1.0,0.0487263570556585,0.006077128762205,0.0159198000001197,0,62,31,496,496,,
nn_linear,[],linear,2,5,6,0.5,1000,800,1.0,0.3213479649187455,0.0021409874800056,3.0424957999998696,-4595712,52,52,416,208,,
nn_32_relu,[32],ReLU,2,5,6,0.5,1000,800,1.0,0.0207845015024617,0.0001039125520614,3.1083342999997967,-1388544,1162,1162,9296,4648,,
mle,,,2,5,6,0.5,1400,1120,1.0,0.0046142615424934,4.2092590848735934e-05,0.0151504999998905,0,62,31,496,496,,
nn_linear,[],linear,2,5,6,0.5,1400,1120,1.0,0.2683530779577159,0.0022087967956544,2.7296808999999485,-3829760,52,52,416,208,,
nn_32_relu,[32],ReLU,2,5,6,0.5,1400,1120,1.0,0.0121894580095615,3.282658761344741e-05,3.600247500000023,-1556480,1162,1162,9296,4648,,
mle,,,3,5,6,0.5,600,480,1.0,0.2642273363285313,0.0181318086464507,0.0116537000001244,4096,62,31,496,496,,
nn_linear,[],linear,3,5,6,0.5,600,480,1.0,0.2710342793644408,0.0030494937059927,3.024339300000065,-5443584,52,52,416,208,,
nn_32_relu,[32],ReLU,3,5,6,0.5,600,480,1.0,0.0251431249339709,0.001294078126628,2.661782200000061,-2420736,1162,1162,9296,4648,,
mle,,,3,5,6,0.5,1000,800,1.0,0.082179041957665,0.0101854069816307,0.0119144000000233,0,62,31,496,496,,
nn_linear,[],linear,3,5,6,0.5,1000,800,1.0,0.1486715929036696,0.0034536777091387,4.220976899999869,-4571136,52,52,416,208,,
nn_32_relu,[32],ReLU,3,5,6,0.5,1000,800,1.0,0.0184771599668635,0.0012050863508777,3.6674173999999766,-1359872,1162,1162,9296,4648,,
mle,,,3,5,6,0.5,1400,1120,1.0,0.0423965603622148,0.0058018484668086,0.0126697000000604,0,62,31,496,496,,
nn_linear,[],linear,3,5,6,0.5,1400,1120,1.0,0.1211470047340103,0.0037123687656224,6.276232899999968,-4009984,52,52,416,208,,
nn_32_relu,[32],ReLU,3,5,6,0.5,1400,1120,1.0,0.0248740705681457,0.0012525225952764,4.204947499999889,-1802240,1162,1162,9296,4648,,
mle,,,4,5,6,0.5,600,480,1.0,0.2501686708844302,0.0189043390746675,0.0104364999999688,0,62,31,496,496,,
nn_linear,[],linear,4,5,6,0.5,600,480,1.0,0.2533061644921138,0.0041264759085087,2.465662199999997,-5836800,52,52,416,208,,
nn_32_relu,[32],ReLU,4,5,6,0.5,600,480,1.0,0.0525752395283169,0.0020055826303278,2.77198599999997,-2637824,1162,1162,9296,4648,,
mle,,,4,5,6,0.5,1000,800,1.0,0.0679528588215075,0.0048564606557285,0.0128737,0,62,31,496,496,,
nn_linear,[],linear,4,5,6,0.5,1000,800,1.0,0.2242466303598137,0.0053103776411586,4.119646600000124,-4534272,52,52,416,208,,
nn_32_relu,[32],ReLU,4,5,6,0.5,1000,800,1.0,0.0245970330745409,0.0005995037173504,4.146429000000126,-1130496,1162,1162,9296,4648,,
mle,,,4,5,6,0.5,1400,1120,1.0,0.0615734964634604,0.0048570886748634,0.0120206999999936,0,62,31,496,496,,
nn_linear,[],linear,4,5,6,0.5,1400,1120,1.0,0.2119249549819262,0.0047001739131889,5.794744099999889,-4251648,52,52,416,208,,
nn_32_relu,[32],ReLU,4,5,6,0.5,1400,1120,1.0,0.0230888185582278,0.000602771496745,4.166835499999934,-1388544,1162,1162,9296,4648,,
mle,,,5,5,6,0.5,600,480,1.0,0.1489532889059155,0.002554369743166,0.011372700000038,0,62,31,496,496,,
nn_linear,[],linear,5,5,6,0.5,600,480,1.0,0.160042169264513,0.0018624032595646,3.1076064999999744,-4034560,52,52,416,208,,
nn_32_relu,[32],ReLU,5,5,6,0.5,600,480,1.0,0.0291882753425524,0.0017057509565886,2.5589010999999573,-1433600,1162,1162,9296,4648,,
