dag_idx,n_nodes,in_degree,alpha,sample_size,kl,density,fit_time_s,fit_rss_delta_bytes,total_stored_params,total_memory_bytes
1,5,2,0.1,600,0.024816534107215186,0.7,0.02701604400135693,167936,30,240
1,5,2,0.1,1000,0.02048468942885056,0.7,0.028648605999478605,0,30,240
1,5,2,0.1,1400,0.019807320640360063,0.7,0.026051341999846045,12288,30,240
2,5,2,0.1,600,0.03480748209871693,0.7,0.026607569001498632,73728,30,240
2,5,2,0.1,1000,0.0030117563751571232,0.7,0.025922779001120944,8192,30,240
2,5,2,0.1,1400,0.0036323897357782827,0.7,0.027133954001328675,8192,30,240
3,5,2,0.1,600,0.018554505275956437,0.7,0.030280071001470787,0,30,240
3,5,2,0.1,1000,0.01647497756222154,0.7,0.031185350999294315,4096,30,240
3,5,2,0.1,1400,0.010579733979066164,0.7,0.030885026997566456,4096,30,240
4,5,2,0.1,600,0.0573858472108786,0.7,0.033955426999455085,8192,30,240
4,5,2,0.1,1000,0.05190854604408597,0.7,0.030387111997697502,4096,30,240
4,5,2,0.1,1400,0.003676032202386718,0.7,0.029653484998561908,8192,30,240
5,5,2,0.1,600,0.000972338827215711,0.7,0.032583722997515,4096,30,240
5,5,2,0.1,1000,0.0008377838157548698,0.7,0.03440977599893813,0,30,240
5,5,2,0.1,1400,0.0007884899829651242,0.7,0.03007997299937415,4096,30,240
1,5,2,0.5,600,0.05905128463147075,0.7,0.028494955997302895,0,30,240
1,5,2,0.5,1000,0.05169866200498861,0.7,0.027691418999893358,8192,30,240
1,5,2,0.5,1400,0.05242719602564732,0.7,0.029441633003443712,12288,30,240
2,5,2,0.5,600,0.018159211526911113,0.7,0.025692096001876052,8192,30,240
2,5,2,0.5,1000,0.011525788450186815,0.7,0.0260329750017263,0,30,240
2,5,2,0.5,1400,0.008412834780945169,0.7,0.025405280000995845,12288,30,240
3,5,2,0.5,600,0.014411652474276889,0.7,0.024057241997070378,4096,30,240
3,5,2,0.5,1000,0.012401546639107214,0.7,0.02488968200123054,4096,30,240
3,5,2,0.5,1400,0.010693562566514797,0.7,0.030381774999113986,4096,30,240
4,5,2,0.5,600,0.018564115702044557,0.7,0.03145818199845962,0,30,240
4,5,2,0.5,1000,0.014727705315928541,0.7,0.029086017999361502,4096,30,240
4,5,2,0.5,1400,0.012393273429721173,0.7,0.03663017299913918,4096,30,240
5,5,2,0.5,600,0.15173442076495172,0.7,0.032661887002177536,4096,30,240
5,5,2,0.5,1000,0.06789974416243033,0.7,0.03213495700038038,0,30,240
5,5,2,0.5,1400,0.007409899881899268,0.7,0.031707698999525746,12288,30,240
1,5,2,1.0,600,0.008522997226508948,0.7,0.02965659699839307,0,30,240
1,5,2,1.0,1000,0.006583488002475025,0.7,0.028938348998053698,0,30,240
1,5,2,1.0,1400,0.0055651461835586925,0.7,0.02648391100228764,4096,30,240
2,5,2,1.0,600,0.009577327559311875,0.7,0.031077694999112282,0,30,240
2,5,2,1.0,1000,0.0036816101253681977,0.7,0.0279084369976772,12288,30,240
2,5,2,1.0,1400,0.004698271589542805,0.7,0.030298999001388438,8192,30,240
3,5,2,1.0,600,0.029459700293074507,0.7,0.028864068997791037,4096,30,240
3,5,2,1.0,1000,0.01546564408787958,0.7,0.028267797999433242,4096,30,240
3,5,2,1.0,1400,0.015394780323297084,0.7,0.029782510002405616,4096,30,240
4,5,2,1.0,600,0.011769667666328802,0.7,0.031189736000669654,4096,30,240
